target_names,direction1,direction2,direction3,direction4,direction5,direction6,direction7,direction8,left_zone,right_zone,upper_zone,down_zone,horizontal_w_to_b,horizontal_b_to_w,vertical_w_to_b,vertical_b_to_w,target
1,13.461538461538462,16.45299145299145,17.735042735042736,14.52991452991453,13.888888888888888,8.76068376068376,9.615384615384615,5.555555555555555,25.448430493273545,24.55156950672646,23.20627802690583,26.793721973094172,45.744680851063826,4.25531914893617,25.53191489361702,24.46808510638298,1
dot,14.912280701754385,15.789473684210526,16.666666666666664,14.912280701754385,13.157894736842104,6.140350877192982,9.649122807017543,8.771929824561402,25.0,25.0,28.571428571428573,21.42857142857143,45.833333333333336,8.333333333333334,20.833333333333336,25.0,40
a,14.784946236559138,16.93548387096774,18.01075268817204,15.32258064516129,13.440860215053762,5.913978494623656,8.602150537634408,6.989247311827956,23.40989399293286,26.59010600706714,22.43816254416961,27.56183745583039,50.0,3.947368421052632,19.736842105263158,26.315789473684212,10
dot,13.223140495867769,14.87603305785124,16.528925619834713,15.702479338842975,14.049586776859504,8.264462809917356,9.917355371900827,7.43801652892562,22.463768115942027,27.536231884057973,26.81159420289855,23.18840579710145,44.0,8.0,24.0,24.0,40
T,16.0,17.066666666666666,18.666666666666668,14.933333333333334,14.4,4.8,8.266666666666666,5.866666666666666,23.22175732217573,26.778242677824267,36.92468619246862,13.07531380753138,53.65853658536585,4.878048780487805,18.29268292682927,23.170731707317074,38
b,17.718446601941746,18.689320388349515,18.689320388349515,15.776699029126213,15.048543689320388,2.912621359223301,5.825242718446602,5.339805825242719,33.466453674121404,16.533546325878593,15.255591054313099,34.7444089456869,73.6842105263158,2.6315789473684212,9.210526315789474,14.473684210526317,11
dot,14.018691588785046,15.88785046728972,17.757009345794394,15.88785046728972,14.018691588785046,6.542056074766355,9.345794392523365,6.542056074766355,24.285714285714285,25.714285714285715,28.571428571428573,21.42857142857143,44.0,8.0,24.0,24.0,40
F,13.753581661891117,14.61318051575931,18.624641833810887,18.624641833810887,18.05157593123209,7.163323782234957,6.876790830945558,2.292263610315186,37.72102161100196,12.278978388998034,31.630648330058936,18.36935166994106,63.38028169014084,5.633802816901408,22.535211267605632,8.450704225352112,33
c,13.924050632911394,16.455696202531648,17.974683544303797,15.18987341772152,13.164556962025317,6.835443037974684,9.367088607594937,7.088607594936709,27.673796791443852,22.32620320855615,25.267379679144387,24.732620320855617,46.753246753246756,2.5974025974025974,23.376623376623378,27.272727272727273,12
dot,13.541666666666668,15.625000000000002,16.666666666666668,14.583333333333334,13.541666666666668,8.333333333333334,10.416666666666668,7.291666666666667,27.083333333333336,22.916666666666668,21.875,28.125000000000004,42.857142857142854,9.523809523809524,28.57142857142857,19.047619047619047,40
T,13.141683778234086,13.347022587268993,18.68583162217659,15.40041067761807,14.579055441478438,7.186858316221765,11.293634496919918,6.365503080082135,21.826280623608017,28.173719376391983,36.41425389755011,13.585746102449889,57.142857142857146,2.857142857142857,7.142857142857143,32.85714285714286,38
d,14.065510597302506,15.992292870905588,18.11175337186898,15.992292870905588,14.258188824662813,6.551059730250482,8.670520231213873,6.358381502890174,16.38065522620905,33.61934477379095,19.110764430577223,30.889235569422777,52.525252525252526,2.0202020202020203,22.222222222222225,23.232323232323235,13
dot,13.592233009708739,14.563106796116505,16.50485436893204,13.592233009708739,12.62135922330097,8.737864077669903,11.650485436893204,8.737864077669903,25.0,25.0,26.041666666666668,23.958333333333336,38.095238095238095,9.523809523809524,28.57142857142857,23.80952380952381,40
F,15.0,16.47058823529412,18.529411764705884,18.235294117647058,17.058823529411764,5.588235294117648,5.882352941176471,3.235294117647059,39.024390243902445,10.975609756097562,28.571428571428573,21.42857142857143,63.888888888888886,4.166666666666666,20.833333333333332,11.11111111111111,33
2,10.546875,15.625,17.3828125,15.8203125,15.234375,12.5,9.765625,3.125,21.95876288659794,28.04123711340206,22.989690721649485,27.010309278350515,42.57425742574257,3.9603960396039604,38.613861386138616,14.85148514851485,2
dot,13.08411214953271,14.018691588785046,16.822429906542055,14.953271028037383,14.018691588785046,8.411214953271028,11.214953271028037,7.4766355140186915,25.423728813559322,24.576271186440678,25.423728813559322,24.576271186440678,39.130434782608695,8.695652173913043,30.43478260869565,21.73913043478261,40
e,13.910761154855642,15.748031496062993,18.11023622047244,15.748031496062993,13.385826771653543,6.299212598425196,9.448818897637794,7.349081364829396,28.94736842105263,21.052631578947366,33.40080971659919,16.59919028340081,46.666666666666664,2.6666666666666665,24.0,26.666666666666664,14
n,17.424242424242426,17.424242424242426,18.18181818181818,16.28787878787879,14.772727272727273,3.0303030303030303,6.4393939393939394,6.4393939393939394,27.234927234927238,22.765072765072766,27.962577962577964,22.03742203742204,62.5,5.357142857142858,8.928571428571429,23.214285714285715,22
v,15.107913669064747,15.107913669064747,17.26618705035971,16.906474820143885,13.66906474820144,4.316546762589928,8.273381294964029,9.35251798561151,25.145348837209305,24.8546511627907,26.453488372093023,23.546511627906977,55.769230769230774,5.769230769230769,9.615384615384615,28.846153846153847,28
