target_names,left_zone,right_zone,upper_zone,down_zone,target
1,25.448430493273545,24.55156950672646,23.20627802690583,26.793721973094172,1
dot,25.0,25.0,28.571428571428573,21.42857142857143,40
a,23.40989399293286,26.59010600706714,22.43816254416961,27.56183745583039,10
dot,22.463768115942027,27.536231884057973,26.81159420289855,23.18840579710145,40
T,23.22175732217573,26.778242677824267,36.92468619246862,13.07531380753138,38
b,33.466453674121404,16.533546325878593,15.255591054313099,34.7444089456869,11
dot,24.285714285714285,25.714285714285715,28.571428571428573,21.42857142857143,40
F,37.72102161100196,12.278978388998034,31.630648330058936,18.36935166994106,33
c,27.673796791443852,22.32620320855615,25.267379679144387,24.732620320855617,12
dot,27.083333333333336,22.916666666666668,21.875,28.125000000000004,40
T,21.826280623608017,28.173719376391983,36.41425389755011,13.585746102449889,38
d,16.38065522620905,33.61934477379095,19.110764430577223,30.889235569422777,13
dot,25.0,25.0,26.041666666666668,23.958333333333336,40
F,39.024390243902445,10.975609756097562,28.571428571428573,21.42857142857143,33
2,21.95876288659794,28.04123711340206,22.989690721649485,27.010309278350515,2
dot,25.423728813559322,24.576271186440678,25.423728813559322,24.576271186440678,40
e,28.94736842105263,21.052631578947366,33.40080971659919,16.59919028340081,14
n,27.234927234927238,22.765072765072766,27.962577962577964,22.03742203742204,22
v,25.145348837209305,24.8546511627907,26.453488372093023,23.546511627906977,28
i,30.851063829787236,19.148936170212767,18.43971631205674,31.560283687943265,18
r,26.646706586826344,23.35329341317365,26.946107784431135,23.05389221556886,24
O,25.6,24.4,25.2,24.8,0
n,26.99468085106383,23.00531914893617,28.590425531914892,21.409574468085108,22
m,27.881355932203387,22.11864406779661,31.440677966101692,18.559322033898304,21
a,26.997840172786177,23.002159827213823,23.110151187904968,26.889848812095032,10
n,27.197149643705462,22.802850356294535,28.028503562945367,21.97149643705463,22
t,33.40380549682875,16.596194503171247,21.035940803382665,28.964059196617338,26
a,26.49402390438247,23.50597609561753,24.800796812749002,25.199203187250994,10
l,26.436781609195403,23.5632183908046,24.904214559386975,25.095785440613028,20
f,21.89473684210526,28.105263157894736,21.263157894736842,28.736842105263158,15
r,27.586206896551726,22.413793103448278,26.551724137931036,23.448275862068968,24
i,32.1875,17.8125,19.375,30.625,18
e,28.24074074074074,21.75925925925926,27.314814814814817,22.685185185185187,14
n,26.643990929705218,23.356009070294785,28.231292517006803,21.7687074829932,22
d,17.04152249134948,32.95847750865052,17.73356401384083,32.266435986159166,13
l,28.18471337579618,21.81528662420382,25.159235668789808,24.84076433121019,20
y,21.222410865874362,28.777589134125634,26.91001697792869,23.089983022071305,30
3,20.914396887159533,29.085603112840467,23.735408560311285,26.264591439688715,3
dot,24.545454545454543,25.454545454545453,20.90909090909091,29.09090909090909,40
B,19.871794871794872,30.128205128205128,25.93240093240093,24.067599067599065,32
e,26.043956043956044,23.956043956043956,27.912087912087912,22.087912087912088,14
c,33.262711864406775,16.737288135593218,25.21186440677966,24.78813559322034,12
a,27.581863979848865,22.418136020151135,22.292191435768263,27.707808564231737,10
u,25.336927223719673,24.663072776280323,19.002695417789756,30.99730458221024,27
s,24.484536082474225,25.51546391752577,22.293814432989688,27.706185567010305,25
e,28.16593886462882,21.83406113537118,28.49344978165939,21.506550218340614,14
i,20.87628865979381,29.12371134020618,19.845360824742265,30.154639175257728,18
t,35.913978494623656,14.086021505376344,19.78494623655914,30.21505376344086,26
r,30.026455026455025,19.97354497354497,27.38095238095238,22.619047619047617,24
a,27.664399092970523,22.33560090702948,22.222222222222225,27.77777777777778,10
i,20.294117647058822,29.705882352941178,19.411764705882355,30.58823529411765,18
n,26.345291479820627,23.654708520179373,29.14798206278027,20.85201793721973,22
e,29.13907284768212,20.86092715231788,30.684326710816777,19.315673289183223,14
d,15.940902021772938,34.05909797822706,16.018662519440124,33.98133748055987,13
s,23.772609819121445,26.22739018087855,23.772609819121445,26.22739018087855,25
O,25.179856115107913,24.820143884892087,24.700239808153476,25.299760191846524,0
h,33.26885880077369,16.731141199226304,16.34429400386847,33.65570599613152,17
a,29.07488986784141,20.92511013215859,22.687224669603523,27.312775330396473,10
r,20.24922118380062,29.750778816199375,25.233644859813083,24.766355140186914,24
d,14.96124031007752,35.03875968992248,15.193798449612403,34.8062015503876,13
4,24.62686567164179,25.373134328358212,18.75,31.250000000000004,4
dot,22.881355932203387,27.11864406779661,19.491525423728813,30.508474576271183,40
N,23.314606741573037,26.68539325842697,25.561797752808992,24.438202247191015,36
